dummy_country,dummy_sales_parent,dummy_brand,dummy_nameplate,dummy_propulsion_system,dummy_segment,dummy_sub_segment,dummy_platform,dummy_s_program_name,dummy_power_kw,report_month,sales_volume
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-01,79
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-02,96
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-03,83
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-04,48
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-05,90
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-06,23
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-07,47
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-08,19
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-09,37
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-10,64
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-11,30
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2024-12,91
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-01,9
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-02,21
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-03,63
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-04,23
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-05,99
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-06,57
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-07,7
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-08,55
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-09,46
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-10,86
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-11,13
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2025-12,76
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-01,49
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-02,85
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-03,78
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-04,96
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-05,67
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-06,81
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-07,96
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-08,1
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-09,70
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-10,49
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-11,86
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2026-12,63
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-01,34
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-02,66
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-03,87
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-04,56
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-05,43
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-06,27
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-07,25
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-08,77
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-09,40
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-10,1
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-11,17
Germany,Skoda,Volkswagen,Arteon,ICE,D,Van,F2,DB20,180,2027-12,18
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-01,20
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-02,24
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-03,5
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-04,72
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-05,16
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-06,61
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-07,68
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-08,96
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-09,96
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-10,59
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-11,97
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2024-12,7
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-01,25
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-02,99
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-03,72
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-04,44
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-05,95
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-06,81
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-07,83
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-08,1
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-09,50
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-10,75
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-11,14
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2025-12,22
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-01,36
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-02,48
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-03,73
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-04,13
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-05,63
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-06,78
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-07,24
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-08,5
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-09,73
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-10,8
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-11,21
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2026-12,80
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-01,6
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-02,78
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-03,55
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-04,41
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-05,54
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-06,100
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-07,84
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-08,58
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-09,40
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-10,84
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-11,80
Germany,Skoda,Volkswagen,Eos,ICE,D,Sedan,F2,DB20,160,2027-12,20
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-01,27
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-02,14
Germany,Skoda,Volkswagen,Arteon,BEV,D,Van,F8,X2G6,0,2024-03,73
